"Figure 1. Change in Growing Degree Days in the Contiguous 48 States, 1948–2023",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2024",,
Web update: June 2024,,
Units: percent change,,
,,
Latitude,Longitude,Percent change in growing degree days
34.5686,-85.6064,5.615602058
35.3028,-93.6369,-7.297455481
41.53,-120.1792,7.78649201
38.535,-121.7761,20.13236998
39.7458,-122.1997,16.55720045
34.1483,-118.1447,37.15311492
36.9878,-121.9994,38.63020565
39.1678,-120.1428,57.17444843
39.2203,-105.2783,17.26304995
37.6911,-106.3078,10.19635056
39.6244,-106.0336,68.99016483
40.5764,-105.0858,30.06223093
37.7494,-107.095,116.8068182
38.0936,-102.6306,1.884071104
38.4858,-107.8792,16.28360441
38.0383,-103.6947,6.751386547
39.7739,-75.5414,14.90632964
26.1019,-80.2011,7.823310362
27.4419,-80.3508,8.084964152
28.1522,-82.7539,11.18600463
34.5786,-83.3319,6.26193758
42.9536,-112.8253,9.018861974
47.5333,-116.1333,5.910759976
42.1231,-111.3133,9.355017695
46.7281,-116.9558,4.632562731
48.3511,-116.8353,24.88031067
41.1978,-90.7447,-7.197264545
39.4761,-88.1653,8.393903809
40.1392,-87.6478,1.624822575
40.4664,-87.685,4.31954381
39.7347,-90.1978,-6.216849066
40.9442,-90.6381,0.146112266
41.3281,-88.9097,-8.032652013
39.6186,-87.6672,-6.141673149
40.0842,-88.2403,1.33662171
39.4408,-90.3789,-8.322156873
39.1661,-85.9228,9.388835406
41.5575,-85.8825,10.01797393
39.7858,-85.7611,-1.305062652
40.58,-85.6586,7.892723538
38.8878,-86.5519,-6.797112965
41.0664,-86.2097,8.042862141
39.6042,-85.4533,5.256619747
38.5528,-86.7944,5.026513555
39.9961,-86.3542,13.23707114
41.0267,-86.5867,2.758069848
41.8814,-92.2764,-2.38368436
43.0603,-92.6717,-0.675505278
40.7244,-95.0192,-7.275045837
41.0211,-91.9553,1.128372221
42.8825,-91.8303,-0.595029843
42.5836,-94.2006,-7.101697186
42.7817,-96.1458,-1.843760277
42.3969,-94.6292,-5.031301054
42.6469,-95.1933,17.823076
42.0356,-92.5806,-1.617300494
41.2825,-91.7078,-10.19619711
