latitude,longitude,change_class_key,change_class_label,measure,unit,value,flag
34.5686,-85.6064,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.615602058,
35.3028,-93.6369,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.297455481,
41.53,-120.1792,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.78649201,
38.535,-121.7761,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,20.13236998,
39.7458,-122.1997,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,16.55720045,
34.1483,-118.1447,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,37.15311492,
36.9878,-121.9994,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,38.63020565,
39.1678,-120.1428,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,57.17444843,
39.2203,-105.2783,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.26304995,
37.6911,-106.3078,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.19635056,
39.6244,-106.0336,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,68.99016483,
40.5764,-105.0858,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,30.06223093,
37.7494,-107.095,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,116.8068182,
38.0936,-102.6306,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.884071104,
38.4858,-107.8792,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,16.28360441,
38.0383,-103.6947,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,6.751386547,
39.7739,-75.5414,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.90632964,
26.1019,-80.2011,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.823310362,
27.4419,-80.3508,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.084964152,
28.1522,-82.7539,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.18600463,
34.5786,-83.3319,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,6.26193758,
42.9536,-112.8253,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.018861974,
47.5333,-116.1333,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.910759976,
42.1231,-111.3133,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.355017695,
46.7281,-116.9558,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.632562731,
48.3511,-116.8353,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,24.88031067,
41.1978,-90.7447,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.197264545,
39.4761,-88.1653,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.393903809,
40.1392,-87.6478,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.624822575,
40.4664,-87.685,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.31954381,
39.7347,-90.1978,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.216849066,
40.9442,-90.6381,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.146112266,
41.3281,-88.9097,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-8.032652013,
39.6186,-87.6672,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.141673149,
40.0842,-88.2403,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.33662171,
